"ExpandKeywords(3000)-US-B0DDX8MYKQ,B0CTJGJL2T,B0CGZS5129,B0CXJ9338V,B0CZ9F35PT,B0CQQLYD3W,B0C2771TLS,B0CDRDK6MR,B0CFLRBTYN,B0C27FG8L9-Last-30-days-20250108",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
关键词,关键词翻译,AC推荐词,流量占比,流量词类型,预估周曝光量,相关产品,相关ASIN,ABA周排名,月搜索量,月购买量,购买率,展示量,点击量,SPR,标题密度,商品数,需供比,广告竞品数,点击集中度,前三ASIN转化总占比,PPC竞价,建议竞价范围,#1 前三ASIN,#1 点击共享,#1 转化共享,#2 前三ASIN,#2 点击共享,#2 转化共享,#3 前三ASIN,#3 点击共享,#3 转化共享,前十ASIN
wickless candle warmer,无芯蜡烛加热器,,,自然搜索词,0 ,9 ,B0C2771TLS/B0C27FG8L9/B0CDRDK6MR/B0CFLRBTYN/B0CGZS5129/B0CQQLYD3W/B0CTJGJL2T/B0CXJ9338V/B0DDX8MYKQ,"2,765,149",,,,,,1 ,0 ,669 ,0.0 ,5 ,31.0%,33.3%,$0.74,$0.55 - $0.93,B0CJ2NQRWM,13.8%,22.2%,B0CG8MNCYS,10.3%,0.0%,B0BZPGDR1B,6.9%,11.1%,"B0C4HFC664,B09JC486KQ,B089B2XWW4,B09294WZH4,B092Q2PG8K,B0C4N7B14Z,B0BXFGV3C5,B0BZPGDR1B,B0B7KVX1HK,B09YCVYCQ2"
wicker lamps set of 2,柳条灯 2 件套,,,自然搜索词,0 ,4 ,B0CDRDK6MR/B0CGZS5129/B0CTJGJL2T/B0CXJ9338V,,,,,,,1 ,0 ,208 ,0.0 ,74 ,41.4%,0.0%,$0.62,$0.46 - $0.79,B0C4TKD3JS,24.1%,0.0%,B0D84CP4ZL,10.3%,0.0%,B0BNNGTF5X,6.9%,0.0%,"B0C4TKD3JS,B0CQYLX8FQ,B0B9NKH1V3,B0B6J4K17P,B0CNP4PNYW,B0CZ92G9NW,B0D12SVRVW,B0BNNFM73Z,B0C5T1HTJ4,B0CDW5Q4Z2"
wick light,灯芯灯,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"2,691,320",140 ,4 ,3.42%,"3,577 ",67 ,1 ,2 ,692 ,0.2 ,22 ,59.4%,0.0%,$1.94,$1.46 - $2.42,B0D1SCB74D,28.1%,0.0%,B0D1SCBJSS,18.8%,0.0%,B0D1SFYL5X,12.5%,0.0%,"B0D1SCB74D,B0CMXK3DQ6,B0D1SCBJSS,B09JPF7CY5,B0CHS859TB,B0CN2QDXMX,B0CGZT2GZZ,B015W8DWUO,B0BRGNDZH8,B0D9TLBF7G"
wick lamp,灯芯灯,,,自然搜索词,0 ,2 ,B0CDRDK6MR/B0CTJGJL2T,,,,,,,1 ,0 ,"1,113 ",0.0 ,21 ,95.2%,0.0%,$1.00,$0.72 - $1.41,B08WKVX59J,45.2%,0.0%,B08WKVX59J,45.2%,0.0%,B0B1G9ZZ5W,4.8%,0.0%,"B08L7NTH3W,B087BDV4SD,B076BF4B14,B074JVC28Z,B0B1G9ZZ5W,B01EFO08AI,B08WKVX59J,B081RW4M4T"
wholier,更完整,,,SP广告词,0 ,1 ,B0CDRDK6MR,"607,598","2,807 ",588 ,20.98%,"68,431 ","1,087 ",14 ,5 ,10 ,280.7 ,15 ,93.6%,94.7%,$6.57,$4.94 - $8.22,B08TDPXQHZ,51.4%,68.4%,B0BZ16DVC6,33.9%,21.1%,B0BR8JQTDF,8.3%,5.3%,"B08TDPXQHZ,B0BZ16DVC6,B0BR8JQTDF,B01CRHD118,B0BL2BF9L6,B000UIBPG0,B095BQTWDV,B0C2RMJ57W,B0CYMBDV9K,B00BPUY3W0"
white roses lamp,,,,自然搜索词,0 ,1 ,B0CGZS5129,,,,,,,,,0 ,,19 ,,,,-,,,,,,,,,,
white flower lamp,白花灯,,,自然搜索词,0 ,1 ,B0CGZS5129,,,,,,,1 ,0 ,"5,910 ",0.0 ,4 ,100.0%,0.0%,$0.81,$0.56 - $0.91,B09BYTQK7N,33.3%,0.0%,B09KGVJNRW,33.3%,0.0%,B09TB28845,33.3%,0.0%,"B0CQK613S1,B0CGTJRVGK,B0CWNVV16D,B0BG75NXNH,B0DBM5TZY3,B0D46C5TKT,B0DK56L9DX,B09F5ZZ2PV,B0CJF44H1G,B0716MS6YJ"
white elephant useful gifts,有用的尴尬礼物,,,SP广告词,0 ,1 ,B0CXJ9338V,"1,592,125",,,,,,1 ,0 ,"2,326 ",0.0 ,14 ,21.2%,9.1%,$0.99,$0.76 - $1.17,B0BVVF94WM,9.6%,9.1%,B000CO89T8,5.8%,0.0%,B0DGY1683M,5.8%,0.0%,"B08TLWYKLS,B012T634SM,B08PP8KDR3,B0DG6PT6GJ,B09YXSNCTM,B019HR91W4,B000CO89T8,B01HTU9TLY,B0D9XGTGT3,B08HFLNS6T"
white elephant lamp,白象灯,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"2,123,309",,,,,,1 ,0 ,301 ,0.0 ,2 ,63.3%,50.0%,$0.92,$0.81 - $1.07,B0CGXSKGXL,40.0%,50.0%,B0CWLPD2WN,13.3%,0.0%,B0859NCHZF,10.0%,0.0%,"B0859NCHZF,B08WRFL8K2,B0946W71J3,B09D4LBKKY,B07BHHNVFW,B07M6GF197,B09K5SSHZT,B07FDXY48N,B074QM7756,B092HX21WF"
white elephant kitchen accessories,,,,自然搜索词,0 ,1 ,B0C27FG8L9,,,,,,,,,0 ,,1 ,,,,-,,,,,,,,,,
white elephant gofts,白象戈夫特,,,SP广告词,0 ,1 ,B0CDRDK6MR,"1,306,235","1,502 ",73 ,4.91%,"30,681 ",695 ,2 ,0 ,"30,901 ",0.1 ,17 ,16.0%,0.0%,$1.03,$0.73 - $1.20,B0CKV9Q88Q,8.0%,0.0%,B0754Y9GNH,4.0%,0.0%,B0CH9TWC91,4.0%,0.0%,"B07KRCGWHR,B005Q8X6IO,B0C5M5GNW6,B08KW1KR5H,B0D83HFCKS,B07TS96J7Q,B0BQTTQG81,B0BQ4183QV,B0CJKTBMZM,B082SHCSH6"
white elephant gifts for adults candle warmer,,,,视频广告词,0 ,2 ,B0C2771TLS/B0DDX8MYKQ,,,,,,,,,0 ,,8 ,,,,-,,,,,,,,,,
white elephant gifts $25,白象礼物25美元,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"2,059,978",,,,,,1 ,0 ,"2,456 ",0.0 ,3 ,19.4%,12.5%,,-,B09XZQQF7R,9.7%,0.0%,B0BX5BBM9M,6.5%,0.0%,B0CG65PYBV,3.2%,12.5%,"B07RPQH4SL,B08FTKRQMM,B09M2Y25NB,B07BGWRD9Q,B07L68FP65,B07L5SVYCM,B07L7NY7Y7,B07KRCGWHR,B09G3KLQ6K,B07Z2Y78HC"
white elephant gifts $20,白象礼物20美元,,,SP广告词,0 ,1 ,B0CXJ9338V,"2,123,307",,,,,,1 ,0 ,"4,244 ",0.0 ,17 ,23.3%,0.0%,,-,B0BRKPVZB4,10.0%,0.0%,B07FDNCMDM,6.7%,0.0%,B0BGQH6LXP,6.7%,0.0%,"B0BLCGYQNG,B07BGWRD9Q,B0BF44YJ1D,B07KXM5GDN,B09G2BSQ5X,B09M2Y25NB,B08FTKRQMM,1704034639"
white elephant gift $30,30美元的尴尬礼物,,,SP广告词,0 ,1 ,B0CXJ9338V,"2,454,128",,,,,,1 ,0 ,"13,561 ",0.0 ,13 ,15.2%,22.2%,,-,B0BVVF94WM,6.1%,11.1%,B0DNDQ7GW1,6.1%,0.0%,B07PY7GLKV,3.0%,11.1%,"B08TLWYKLS,B0DKWLH5ZG,B08HFLNS6T,B09LLPSVBY,B00C95O3DY,B08GC1G4Y9,B0DG6PT6GJ,B088FT5HZH,B0C7CFLZ3H,B09XZQQF7R"
white christmas gifts,白色圣诞礼物,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"2,059,938",986 ,29 ,2.96%,"25,419 ",473 ,1 ,0 ,"136,973 ",0.0 ,3 ,41.9%,42.9%,$1.32,$0.99 - $1.64,B0D92BP5SK,22.6%,42.9%,B08P6MTSSS,9.7%,0.0%,B0DBZCGGDZ,9.7%,0.0%,"B0D92BP5SK,B0DBZF7H6F,B07QNS3HZJ,B0754Y9GNH,B082SHCSH6,B075XR4SXT,B0010VS078,B08P6MTSSS,1728269814,B0D66QBHY4"
white candle warmer lamp with timer,,,,自然搜索词,0 ,7 ,B0C27FG8L9/B0CDRDK6MR/B0CFLRBTYN/B0CGZS5129/B0CQQLYD3W/B0CXJ9338V/B0CZ9F35PT,,,,,,,,,0 ,,5 ,,,,-,,,,,,,,,,
white candle lamp,白色蜡烛灯,,,自然搜索词,0 ,1 ,B0CDRDK6MR,,,,,,,1 ,0 ,472 ,0.0 ,2 ,37.9%,25.0%,$1.20,$0.89 - $1.52,B0CDBW9P5Z,13.8%,25.0%,B0CDWRSTT8,13.8%,0.0%,B0B12Q6L15,10.3%,0.0%,"B0CNS58KGV,B0CKYN39TS,B0CDWRSTT8,B0CR69VQLX,B0CDBW9P5Z,B0CTGGD2FK,B0CGTZY3KB,B0C7G8BQ6Y,B0C6M1C7BQ,B0CGZ9B75P"
white base candle warmer lamp with timer,,,,自然搜索词/品牌广告词,0 ,3 ,B0CDRDK6MR/B0CXJ9338V/B0CZ9F35PT,,,,,,,,,0 ,,5 ,,,,-,,,,,,,,,,
white and gold home decor,白色和金色的家居装饰,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"1,889,878",463 ,2 ,0.46%,"12,788 ",214 ,1 ,2 ,"48,715 ",0.0 ,2 ,23.5%,0.0%,$1.05,$0.80 - $1.33,B0BBQQYQQ8,8.8%,0.0%,B0BPRXFHZ4,8.8%,0.0%,B0BYS6SJ3P,5.9%,0.0%,"B07YC1CMYM,B0CHSL7SLR,B0CSCYM3C9,B0CRR656J7,B093GXHRWR,B07NFLVT9G,B08Q2Y9GQS,B07SST1K8Z,B0BBQQYQQ8,B0BPX8G8SC"
white and gold candle warmer,,,,视频广告词,0 ,7 ,B0C2771TLS/B0CDRDK6MR/B0CFLRBTYN/B0CGZS5129/B0CQQLYD3W/B0CXJ9338V/B0CZ9F35PT,"2,505,301",,,,,,,,282 ,,4 ,,,,-,B0DB1T4WZX,28.0%,20.0%,B0BQ3FYXRY,16.0%,0.0%,B0D9K9B321,12.0%,0.0%,
whimsygoth room decor,,,,自然搜索词,0 ,1 ,B0C27FG8L9,"1,701,417",,,,,,,,199 ,,5 ,,,,-,B088FK1D4Y,10.5%,0.0%,B0B3R4RVLB,10.5%,0.0%,B0C4CS459J,7.9%,0.0%,
whimsy decor,,,,自然搜索词,0 ,2 ,B0CDRDK6MR/B0CGZS5129,"1,511,626",,,,,,1 ,0 ,"20,699 ",0.0 ,1 ,30.2%,50.0%,$0.64,$0.49 - $0.81,B00RE0M1O2,14.0%,0.0%,B0B3R4RVLB,11.6%,50.0%,B088FK1D4Y,4.7%,0.0%,"B0C13XYNZ7,B0B3R4RVLB,B09D36P18V,B088FK1D4Y,B00RE0M1O2,B0CGZS5129,B09TXM9C8Y,B0B7ZYSVY4,B07QP9P8KR,B0BQMKXPVW"
whimsigoth room decor,异想天开的房间装饰,,,自然搜索词,0 ,1 ,B0C27FG8L9,,,,,,,1 ,0 ,"3,285 ",0.0 ,5 ,18.2%,0.0%,$0.50,$0.40 - $0.64,B08KDNKWDZ,6.1%,0.0%,B095XVYNVW,6.1%,0.0%,B0BZC14DSX,6.1%,0.0%,"B0BD66KCV9,B09XM7YB41,B0B62HB47H,B087PLJW6N,B08JFXLNCV,B0CFY6XHC9,B0C6551ZXQ,B0BZC14DSX,B07K7H5J2Z,B07ZLTDSFL"
whimsigoth lamp,奇思妙想灯,,,自然搜索词,0 ,2 ,B0C27FG8L9/B0CGZS5129,"2,337,807",,,,,,1 ,0 ,286 ,0.0 ,2 ,51.8%,33.3%,$0.82,$0.62 - $1.03,B00CM5TQC4,22.2%,33.3%,B0C7GPYW39,14.8%,0.0%,B0CWNVV16D,14.8%,0.0%,"B08XQ1RY54,B0C7GPYW39,B0CXSMG493,B00CM5TQC4,B0CGZS5129,B094JC2QHF,B09FDXDMCX,B0B5SPQCX1,B094JJMNLQ,B0C9PV8KTG"
whimsigoth decor,奇思妙想的装饰,,,视频广告词,0 ,1 ,B0C27FG8L9,"450,061","2,593 ",79 ,3.07%,"54,664 ","1,263 ",2 ,0 ,223 ,11.6 ,4 ,23.8%,0.0%,$1.09,$0.81 - $1.23,B07SXC3QCT,10.9%,0.0%,B0B3R4RVLB,6.8%,0.0%,B0CNS8F6V9,6.1%,0.0%,"B0BZ53N7RL,B07YFBTWV1,B0B3R4RVLB,B00H222584,B0BWSYC66T,B0CNS8F6V9,B0B6FF918S,B07SXC3QCT,B092JD3FCW,B095SLFP9T"
whimsical lamps,奇思妙想灯,,,自然搜索词,0 ,1 ,B0CGZS5129,"2,337,805",,,,,,1 ,0 ,"1,816 ",0.0 ,2 ,25.9%,0.0%,$0.99,$0.82 - $1.16,B0CQKNGK89,14.8%,0.0%,B09Q89WNC8,7.4%,0.0%,B0785GFBBG,3.7%,0.0%,"B0CLV9CF7D,B09TW285ND,B09Q89WNC8,B07Y47K647,B08XQ1RY54,B07PBHFLKK,B0C3714GZ7,B0BV9K6NBN,B0C71KNBQM,B0CBJH1ZC6"
whimsical kitchen decor,,,,自然搜索词,0 ,1 ,B0CGZS5129,"2,123,182",,,,,,1 ,0 ,"5,070 ",0.0 ,2 ,23.3%,0.0%,$0.60,$0.40 - $0.74,B0784YQ63K,10.0%,0.0%,B07MB1SH1G,6.7%,0.0%,B09S63FVXB,6.7%,0.0%,"B0B788QLBF,B0BYSN9Q8R,B0C2GMN243,B0CPM8Y9LQ,B081HC9N3J,B09GM2396X,B09VGSQQXJ,B0CL4R55DR,B0D1Y6XHTX,B0CMJ1QM5N"
whimsical gifts for women,送给女性的异想天开的礼物,,,自然搜索词,0 ,1 ,B0CGZS5129,"1,790,754",586 ,20 ,3.48%,"17,274 ",287 ,1 ,0 ,"16,655 ",0.0 ,15 ,19.5%,50.0%,$1.16,$0.91 - $1.41,B0BZHG852Z,8.3%,0.0%,B00RE0M1O2,5.6%,50.0%,B00I4HV3TS,5.6%,0.0%,"B0BJYCRS51,B083HRZBDT,B004UBOG4G,B07YFLTR2L,B07TYM4LMX,B09Z2HH4HF,B071D9J878,B01N40YANE,B0BBVXRZ3F,B09959B2LM"
whimsical gift,,,,SP广告词,0 ,1 ,B0CGZS5129,,,,,,,,,0 ,,13 ,,,,-,,,,,,,,,,
whimsical floor lamp,奇思妙想落地灯,,,SP广告词,0 ,1 ,B0CGZS5129,"1,234,538",913 ,25 ,2.80%,"25,400 ",381 ,1 ,0 ,807 ,1.1 ,20 ,18.9%,0.0%,$1.55,$1.21 - $1.79,B0D62TFQF1,7.6%,0.0%,B0CBJH1ZC6,5.7%,0.0%,B0CY5FFZPN,5.7%,0.0%,"B07PJ774XY,B0DCG9K5C2,B0CZ6VJ3JD,B0BPLMJQ4W,B0D62TFQF1,B0DG5V5CWX,B0CBJH1ZC6,B0C99QCCBL,B0CB9T346Y,B0CN9F3G14"
whimsical decor;,,,,自然搜索词,0 ,2 ,B0C27FG8L9/B0CGZS5129,,,,,,,,,0 ,,17 ,,,,-,,,,,,,,,,
whimsical bedroom decor,奇思妙想的卧室装饰,,,自然搜索词,0 ,1 ,B0CGZS5129,"1,838,936",140 ,4 ,3.07%,"3,885 ",66 ,1 ,0 ,"8,832 ",0.0 ,1 ,22.9%,0.0%,$0.75,$0.64 - $0.94,B0CWNVV16D,8.6%,0.0%,B0D2DKG2TJ,8.6%,0.0%,B073W9CSVN,5.7%,0.0%,"B0D65FWW7M,B00RE0M1O2,B0CBX4R847,B0BBBZ3MNP,B0CWNVV16D,B0BWQNRHPR,B0D2DKG2TJ,B01M1VERBF,B0BR5G8GC8,B0C65KSKZL"
whimisical decor,,,,自然搜索词,0 ,2 ,B0C27FG8L9/B0CGZS5129,,,,,,,,,0 ,,54 ,,,,-,,,,,,,,,,
what to get moms for christmas,,,,自然搜索词,0 ,1 ,B0C27FG8L9,"1,653,480",,,,,,,,0 ,,1 ,,,,-,B0BYRMQBZ3,12.0%,0.0%,B0C1NJSCRD,8.0%,12.5%,1601065655,8.0%,0.0%,
what to get for mom for christmas,,,,自然搜索词,0 ,1 ,B0C27FG8L9,"1,432,905",,,,,,,,0 ,,2 ,,,,-,B0BG9R5M3D,5.2%,0.0%,B0CH6DDZ2R,3.5%,8.3%,B0CPPPN81P,3.5%,8.3%,
what do i want for christmas woman,我想要的圣诞礼物是什么？,,,自然搜索词,0 ,2 ,B0C2771TLS/B0C27FG8L9,"3,051,357",491 ,16 ,3.40%,"12,783 ",233 ,1 ,0 ,108 ,4.6 ,3 ,23.1%,0.0%,,-,B09LLY5MKL,7.7%,0.0%,B0CDLCNKLS,7.7%,0.0%,B0DB1S2RWL,7.7%,0.0%,"B0DJ1FBQ8K,B0DB4LT3WT,B0DHDBWGKD,B07QM2JG22,B0DLNRNJ4J,B0DDX494BV,B0B9N8ZN82,B0BMVZD9ZT,B08NJY6Z1V,B0DLKZDDK9"
western decor;,,,,品牌广告词,0 ,2 ,B0CQQLYD3W/B0CTJGJL2T,,,,,,,,,0 ,,39 ,,,,-,,,,,,,,,,
western candle warmer lamp,,,,自然搜索词/品牌广告词,0 ,6 ,B0CDRDK6MR/B0CFLRBTYN/B0CQQLYD3W/B0CTJGJL2T/B0CZ9F35PT/B0DDX8MYKQ,"2,600,500",,,,,,,,0 ,,3 ,,,,-,B0BWJDGJMM,19.4%,0.0%,B0D2WS9YFJ,12.9%,0.0%,B0CB1SBGC2,6.5%,14.3%,
western candle warmer,西式蜡烛暖炉,,,自然搜索词,0 ,4 ,B0CDRDK6MR/B0CTJGJL2T/B0CZ9F35PT/B0DDX8MYKQ,"2,524,984",140 ,4 ,3.37%,"3,025 ",68 ,1 ,0 ,803 ,0.2 ,4 ,28.1%,0.0%,$1.03,$0.70 - $1.34,B08PNP2LNL,9.4%,0.0%,B0BB8D411N,9.4%,0.0%,B0CQVR7KRW,9.4%,0.0%,"B0BTGCRZTP,B0BWJDGJMM,B0CTJGJL2T,B0BB8D411N,B0BZ58CR1H,B08PNP2LNL,B09JKFNL92,B0CP95C852,B0CQJMGL3P,B08T21FGQ8"
wellness gifts for her,,,,自然搜索词,0 ,1 ,B0C27FG8L9,"311,883","1,755 ",47 ,2.73%,"36,353 ",683 ,2 ,0 ,"160,728 ",0.0 ,47 ,17.5%,11.1%,$1.10,$0.82 - $1.37,B0CQ4N6YN6,6.1%,5.6%,B0BX6B67T8,6.1%,0.0%,B09HRB71DM,5.2%,5.6%,"B0CYCFRZKD,B0CGV29XZF,B0BJXRWWHX,B0BFHXRG1F,B0CG39LPY3,B0DCFKZ1YB,B0BX6B67T8,B0CRB6S1Q9,B0CQ4N6YN6,B0C7R25898"
wellness gift,健康礼物,,,自然搜索词,0 ,1 ,B0C27FG8L9,"1,416,198",834 ,18 ,2.19%,"21,437 ",329 ,1 ,3 ,"152,326 ",0.0 ,4 ,23.9%,20.0%,$1.82,$1.36 - $2.59,B0BJYCRS51,10.9%,0.0%,B088BXDJPZ,6.5%,20.0%,B00SMJIYNG,6.5%,0.0%,"B0BBMP9TN1,B0BJYCRS51,B09Z9S569D,B0B616TQMZ,B00I1QCPHQ,B0B9X4GD1N,B08T95SST2,B0CGLRZG9M,B0CKBYKTYS,B07G142F9Z"
weird lamps,奇怪的灯,,,自然搜索词,0 ,1 ,B0CGZS5129,"1,111,990","1,304 ",2 ,0.17%,"32,155 ",524 ,1 ,0 ,"1,174 ",1.1 ,2 ,22.0%,20.0%,$0.60,$0.44 - $0.75,B08CXGRPL3,8.5%,0.0%,B0CST6LXY7,6.8%,20.0%,B0763JJ38W,6.8%,0.0%,"B0C3714GZ7,B07PBHFLKK,B09Z67ZMCV,B0CGXSKGXL,B08CXGRPL3,B0C3QWMCB7,B0CNSW54LT,B0763JJ38W,B0B24ZYK97,B09YRR2LS5"
wedding registry must haves 2024,,,,自然搜索词,0 ,1 ,B0CDRDK6MR,,,,,,,1 ,0 ,126 ,0.0 ,1 ,21.2%,0.0%,,-,B0CBLR34W3,9.1%,0.0%,B00M2J7PCI,6.1%,0.0%,B08J8GZXKZ,6.1%,0.0%,"B08J8GZXKZ,B08J8H7BQG,B00M2J7PCI,B09NFQBCNR,B0C38WVJVQ,B0CBLR34W3,B0CGWPBS1Y,B0C16Q4PWS,B09QPQVK37,B0BGHMLRNN"
wedding registry gifts must haves,,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"1,619,859",384 ,9 ,2.52%,"8,131 ",159 ,1 ,0 ,369 ,1.0 ,13 ,22.5%,0.0%,,-,B08LBN2JPS,10.0%,0.0%,B0986VFBWQ,7.5%,0.0%,B00008WQ3L,5.0%,0.0%,"B01DTFF0Y8,B0CGRGRXPY,B08J8GZXKZ,B0CDRDK6MR,B0BMKJFFP1,B0B785V2NF,B094PTSRP9,B0BWHJ1FNK,B0CMVLDKYM,B07VG4S38C"
wedding lace gifts,,,,视频广告词,0 ,2 ,B0C2771TLS/B0C27FG8L9,,,,,,,,,0 ,,6 ,,,,-,,,,,,,,,,
wedding gifts souvenirs,,,,视频广告词,0 ,2 ,B0C2771TLS/B0C27FG8L9,,,,,,,,,0 ,,11 ,,,,-,,,,,,,,,,
wedding gift ideas,婚礼礼物创意,,,自然搜索词,0 ,1 ,B0CDRDK6MR,"1,150,108","2,622 ",88 ,3.37%,"62,858 ","1,226 ",2 ,0 ,"129,806 ",0.0 ,5 ,15.8%,25.0%,$0.81,$0.62 - $1.01,B08VKRJ4RX,5.3%,25.0%,B07HGQ9QF5,5.3%,0.0%,B09MN8J3P9,5.3%,0.0%,"B01DTFF0Y8,B07DL7ZV31,B01E4LWBLQ,B0D5LJ1ZJD,B09RN1ZH6L,B07BM9ZCSB,B09FHT8TZ8,B07HGQ9QF5,B0BCH164R4,B0D7G97CL2"
wedding gift for mother in law,,,,自然搜索词,0 ,1 ,B0CDRDK6MR,,,,,,,,,0 ,,64 ,,,,-,,,,,,,,,,
wedding gift candle,,,,自然搜索词,0 ,1 ,B0CDRDK6MR,,,,,,,,,0 ,,21 ,,,,-,,,,,,,,,,
wedding candle gift,婚礼蜡烛礼物,,,自然搜索词,0 ,1 ,B0CDRDK6MR,,,,,,,1 ,0 ,"11,665 ",0.0 ,31 ,45.2%,54.5%,$1.58,$1.19 - $1.98,B0CX4KSGBP,25.8%,27.3%,B0D2ZBXVV4,9.7%,18.2%,B0D255XDG9,9.7%,9.1%,"B0CX4KSGBP,B0D2ZBXVV4,B0CQB19SM7,B0CN2ZV57X,B0CQH1NDLZ,B0014SUGEW,B0CRC6CXZC,B0B567LTMY,B0CTD21LM9,B09DRFZ5YD"
waxlamp,,,,自然搜索词,0 ,6 ,B0C2771TLS/B0CDRDK6MR/B0CFLRBTYN/B0CQQLYD3W/B0CTJGJL2T/B0CXJ9338V,,,,,,,,,0 ,,5 ,,,,-,,,,,,,,,,
waxing warmer,打蜡加热器,,,自然搜索词,0 ,3 ,B0CQQLYD3W/B0CTJGJL2T/B0DDX8MYKQ,"835,214","1,543 ",105 ,6.84%,"43,090 ",646 ,3 ,1 ,915 ,1.7 ,60 ,31.7%,20.0%,$1.33,$1.12 - $1.48,B08LNR3X18,12.7%,13.3%,B09KTPL1F3,10.1%,6.7%,B07CRZQ9MY,8.9%,0.0%,"B0CMPSW8KF,B09KTPL1F3,B08T982VVD,B0030ZRS7A,B07CRZQ9MY,B07QKWFDHC,B08LNR3X18,B0926B8273,B0DGLLHNT9,B07HD68P1F"
wax wrmer lantern,,,,自然搜索词/品牌广告词,0 ,2 ,B0CDRDK6MR/B0CZ9F35PT,,,,,,,,,0 ,,8 ,,,,-,,,,,,,,,,
wax with money inside,,,,SP广告词,0 ,1 ,B0CXJ9338V,,,,,,,1 ,0 ,422 ,0.0 ,120 ,74.4%,0.0%,$1.25,$0.93 - $1.55,B08HXQJQKD,38.5%,0.0%,B00LF9J0PQ,30.8%,0.0%,B081FVRZ6L,5.1%,0.0%,"B08HXQJQKD,B00LF9J0PQ,B083XDH1WJ,B08TV8QXHC,B0BXL6RKCY,B08TV8V7RF,B0C68L5ZNL,B01F92WOP2,B0BK1WRRNC,B0D3TR4CNV"
wax watmer,蜡水,Y,,自然搜索词/AC推荐词/SP广告词,0 ,4 ,B0CDRDK6MR/B0CQQLYD3W/B0CTJGJL2T/B0CXJ9338V,"1,234,402",643 ,18 ,2.95%,"15,457 ",286 ,1 ,0 ,"4,767 ",0.1 ,2 ,17.0%,14.3%,$0.81,$0.62 - $0.93,B09WZWWT8S,5.7%,14.3%,B07WR9P1F8,5.7%,0.0%,B0BX8B5Y9W,5.7%,0.0%,"B0BWJRJYS7,B0CXJ9338V,B09BVR2Q9N,B0CNGK3XRC,B0CDRDK6MR,B0BXXFPK2D,B0BX8B5Y9W,B0CT274BX5,B092V4R468,B01N9Y6077"
wax warner,蜡华纳,,,自然搜索词,0 ,2 ,B0CDRDK6MR/B0CGZS5129,"1,581,974",963 ,30 ,3.20%,"22,346 ",475 ,1 ,0 ,414 ,2.3 ,3 ,24.4%,11.1%,$0.74,$0.55 - $0.93,B0CCRGCKPT,9.8%,0.0%,B092CXDQLG,7.3%,11.1%,B0BYJHR6LD,7.3%,0.0%,"B09BVR2Q9N,B0BXXFPK2D,B0CYLMZYD6,B0BZSLRCXK,B0BYJHR6LD,B09WZWWT8S,B07WR9P1F8,B08ZYK5MMJ,B0CR7DT9T8,B092V4R468"
wax warmwr,蜡暖水,Y,,自然搜索词/AC推荐词,0 ,6 ,B0CDRDK6MR/B0CFLRBTYN/B0CQQLYD3W/B0CTJGJL2T/B0CXJ9338V/B0DDX8MYKQ,"1,838,656",690 ,30 ,4.36%,"18,855 ",277 ,1 ,0 ,"4,767 ",0.1 ,4 ,34.3%,22.2%,$0.20,$0.18 - $0.25,B09WZWWT8S,14.3%,11.1%,B0CYLMZYD6,14.3%,0.0%,B096ZS566G,5.7%,11.1%,"B0BWJRJYS7,B0CXJ9338V,B09BVR2Q9N,B0CDRDK6MR,B0CNGK3XRC,B0BXXFPK2D,B0BX8B5Y9W,B0CT274BX5,B092V4R468,B01N9Y6077"
wax warming lamp,,,,自然搜索词,0 ,10 ,B0C2771TLS/B0C27FG8L9/B0CDRDK6MR/B0CFLRBTYN/B0CGZS5129/B0CQQLYD3W/B0CTJGJL2T/B0CXJ9338V/B0CZ9F35PT/B0DDX8MYKQ,,,,,,,,,0 ,,8 ,,,,-,,,,,,,,,,
wax warmers for wax melts electric,用于蜡熔化电动的蜡加热器,,,SP广告词,0 ,2 ,B0CDRDK6MR/B0CXJ9338V,"2,337,388",778 ,54 ,7.06%,"21,318 ",361 ,2 ,0 ,"1,521 ",0.5 ,4 ,22.2%,100.0%,,-,B0C1NLHLDT,11.1%,50.0%,B09WZWWT8S,7.4%,0.0%,B0BZSLRCXK,3.7%,50.0%,"B0CXJ9338V,B09WZWWT8S,B092V4R468,B0CYLMZYD6,B09JF2LVD9,B09BVR2Q9N,B0CNGK5WT2,B0BZSLRCXK,B0CR7DT9T8,B07KF2J8BR"
